hershey,unicode0,unicode1
2325,9837,
2326,119099,
2327,119100,
2328,119101,
2329,119102,
2330,119070,
2331,119074,
2332,119073,
2367,119149,
2368,119150,
2369,,
2370,119133,
2371,119134,
2372,119135,
2373,9839,
2374,9838,
2375,9837,
2376,119099,
2377,119100,
2378,119101,
2379,119102,
2380,119070,
2381,119074,
2382,119073,
2401,928,8719
2402,931,8721
2403,40,
2404,41,
2405,91,
2406,93,
2407,123,
2408,125,
2409,9136,
2410,9137,
2411,8730,9143
2412,8747,
2501,65,
2502,66,
2503,67,
2504,68,
2505,69,
2506,70,
2507,71,
2508,72,
2509,73,
2510,74,
2511,75,
2512,76,
2513,77,
2514,78,
2515,79,
2516,80,
2517,81,
2518,82,
2519,83,
2520,84,
2521,85,
2522,86,
2523,87,
2524,88,
2525,89,
2526,90,
2551,65,
2552,66,
2553,67,
2554,68,
2555,69,
2556,70,
2557,71,
2558,72,
2559,73,
2560,74,
2561,75,
2562,76,
2563,77,
2564,78,
2565,79,
2566,80,
2567,81,
2568,82,
2569,83,
2570,84,
2571,85,
2572,86,
2573,87,
2574,88,
2575,89,
2576,90,
2601,97,
2602,98,
2603,99,
2604,100,
2605,101,
2606,102,
2607,103,
2608,104,
2609,105,
2610,106,
2611,107,
2612,108,
2613,109,
2614,110,
2615,111,
2616,112,
2617,113,
2618,114,
2619,115,
2620,116,
2621,117,
2622,118,
2623,119,
2624,120,
2625,121,
2626,122,
2651,97,
2652,98,
2653,99,
2654,100,
2655,101,
2656,102,
2657,103,
2658,104,
2659,105,
2660,106,
2661,107,
2662,108,
2663,109,
2664,110,
2665,111,
2666,112,
2667,113,
2668,114,
2669,115,
2670,116,
2671,117,
2672,118,
2673,119,
2674,120,
2675,121,
2676,122,
2697,8203,
2698,8194,
2699,8195,32
2700,48,
2701,49,
2702,50,
2703,51,
2704,52,
2705,53,
2706,54,
2707,55,
2708,56,
2709,57,
2710,46,
2711,44,
2712,58,
2713,59,
2714,33,
2715,63,
2716,8216,
2717,8217,
2718,38,
2719,36,
2720,47,
2721,40,
2722,41,
2723,42,
2724,45,
2725,43,
2726,61,
2727,8242,39
2728,8243,34
2729,176,
2747,8203,
2748,8194,
2749,8195,32
2750,48,
2751,49,
2752,50,
2753,51,
2754,52,
2755,53,
2756,54,
2757,55,
2758,56,
2759,57,
2760,46,
2761,44,
2762,58,
2763,59,
2764,33,
2765,63,
2766,8216,
2767,8217,
2768,38,
2769,36,
2770,47,
2771,40,
2772,41,
2773,42,
2774,45,
2775,43,
2776,61,
2777,8242,39
2778,8243,34
2779,176,
2801,1040,
2802,1041,
2803,1042,
2804,1043,
2805,1044,
2806,1045,
2807,1046,
2808,1047,
2809,1048,
2810,1049,
2811,1050,
2812,1051,
2813,1052,
2814,1053,
2815,1054,
2816,1055,
2817,1056,
2818,1057,
2819,1058,
2820,1059,
2821,1060,
2822,1061,
2823,1062,
2824,1063,
2825,1064,
2826,1065,
2827,1066,
2828,1067,
2829,1068,
2830,1069,
2831,1070,
2832,1071,
2901,1072,
2902,1073,
2903,1074,
2904,1075,
2905,1076,
2906,1077,
2907,1078,
2908,1079,
2909,1080,
2910,1081,
2911,1082,
2912,1083,
2913,1084,
2914,1085,
2915,1086,
2916,1087,
2917,1088,
2918,1089,
2919,1090,
2920,1091,
2921,1092,
2922,1093,
2923,1094,
2924,1095,
2925,1096,
2926,1097,
2927,1098,
2928,1099,
2929,1100,
2930,1101,
2931,1102,
2932,1103,
3001,65,
3002,66,
3003,67,
3004,68,
3005,69,
3006,70,
3007,71,
3008,72,
3009,73,
3010,74,
3011,75,
3012,76,
3013,77,
3014,78,
3015,79,
3016,80,
3017,81,
3018,82,
3019,83,
3020,84,
3021,85,
3022,86,
3023,87,
3024,88,
3025,89,
3026,90,
3051,65,119860
3052,66,119861
3053,67,119862
3054,68,119863
3055,69,119864
3056,70,119865
3057,71,119866
3058,72,119867
3059,73,119868
